,product,brand,price ($),life_stage,special_diet,review_num,review_star,ingredients,protein,fat,fiber,moisture,
69,Purina ONE Hairball Adult Formula Dry Cat Food,Purina ONE,24.68,Adult,normal,447,4.8,"Chicken, Corn Gluten Meal, Chicken By-Product Meal (Source Of Glucosamine), Rice Flour, Soybean Meal, Beef Fat Naturally Preserved With Mixed-Tocopherols, Whole Grain Corn, Powdered Cellulose, Soybean Hulls, Liver Flavor, Chicken Meal (Source Of Glucosamine), Phosphoric Acid, Calcium Carbonate, Salt, Caramel Color, Dried Carrots, Dried Peas, Choline Chloride, Potassium Chloride, Taurine, MINERALS [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], VITAMINS [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Vitamin E Supplement. L418517",34.00%,14.00%,4.50%,12.00%,
70,Purina Pro Plan Veterinary Diets UR St/Ox Urinary Formula Dry Cat Food,Purina Pro Plan Veterinary Diets,69.99,Adult,"Pea-Free, Veterinary Diet",307,4.7,"Corn Gluten Meal, Chicken, Poultry By-Product Meal, Brewers Rice, Oat Fiber, Wheat Gluten, Whole Grain Corn, Animal Fat Preserved with Mixed-Tocopherols (Form of Vitamin E), Salt, Animal Liver Flavor, Phosphoric Acid, Dried Egg Product, Calcium Carbonate, Potassium Chloride, Fish Oil, Choline Chloride, Taurine, Zinc Sulfate, Vitamin E Supplement, Ferrous Sulfate, Manganese Sulfate, Niacin, Vitamin A Supplement, Calcium Pantothenate, Thiamine Mononitrate, Copper Sulfate, Riboflavin Supplement, Vitamin B-12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D-3 Supplement, Calcium Iodate, Biotin, Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Sodium Selenite.",40.00%,11.00%,4.00%,12.00%,
71,Rachael Ray Nutrish Inner Health Turkey with Chickpeas & Salmon Recipe Dry Cat Food,Rachael Ray Nutrish,19.97,Adult,Sensitive Digestion,233,4.5,"Turkey, Chicken Meal, Brewers Rice, Dried Peas, Corn Protein Concentrate, Dried Chickpeas, Chicken Fat (Preserved with Mixed Tocopherols), Cranberries, Salmon, Natural Flavor, Pumpkin, Dried Plain Beet Pulp, Dicalcium Phosphate, Salt, Brewers Dried Yeast, Menhaden Fish Oil, Calcium Carbonate, Potassium Chloride, Choline Chloride, Taurine, Dried Blueberry, DL-Methionine, Vitamin E Supplement, L-Tryptophan, L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), Zinc Sulfate, Ferrous Sulfate, Niacin, Dried Dandelion, Manganese Sulfate, Copper Sulfate, Vitamin A Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Dried Bacillus Coagulans Fermentation Product, Biotin, Sodium Selenite, Riboflavin Supplement, Pyridoxine Hydrochloride (Source of Vitamin B6), Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Vitamin B12 Supplement, Folic Acid, Potassium Iodide, Vitamin D3 Supplement",34.00%,12.00%,5.00%,9.00%,
72,"Purina ONE Indoor Advantage Senior 7+ Dry Cat Food, 7-lb bag",Purina ONE,13.74,"Adult, Senior",normal,180,4.7,"Chicken, Chicken By-Product Meal, Rice Flour, Corn Gluten Meal, Soybean Meal, Beef Fat Preserved With Mixed-Tocopherols, Whole Grain Corn, Powdered Cellulose, Soybean Hulls, Natural Flavor, Soy Protein Concentrate, Phosphoric Acid, Calcium Carbonate, Caramel Color, Salt, Potassium Chloride, Choline Chloride, Dried Carrots, Dried Peas, VITAMINS [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Taurine, MINERALS [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], L-Lysine Monohydrochloride. O418419.",36.00%,13.00%,4.95%,12.00%,
73,Purina Beyond Simply White Meat Chicken & Egg Recipe Grain-Free Dry Cat Food,Purina Beyond,16.9,Adult,"Grain-Free, No Corn No Wheat No Soy",350,4.7,"Chicken, Chicken Meal, Pea Protein, Pea Starch, Cassava Root Flour, Dried Egg Product, Beef Fat Preserved With Mixed-Tocopherols, Dried Yeast, Canola Meal, Pea Fiber, Natural Flavor, Dried Carrots, Phosphoric Acid, Salt, Potassium Chloride, Sodium Bisulfate, Choline Chloride, L-Lysine Monohydrochloride, Calcium Carbonate, Taurine, MINERALS [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], VITAMINS [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Vitamin B-12 Supplement, Riboflavin Supplement (Vitamin B-2), Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Menadione Sodium Bisulfite Complex (Vitamin K), Vitamin D-3 Supplement, Biotin (Vitamin B-7)], Dried Bacillus Coagulans Fermentation Product. C425919.",35.00%,14.00%,4.00%,12.00%,
74,Cat Chow Naturals Grain-Free with Real Chicken Dry Cat Food,Cat Chow,18.28,Adult,Grain-Free,278,4.6,"Chicken By-Product Meal, Cassava Root Flour, Soy Flour, Pea Starch, Chicken, Pea Protein, Beef Fat Naturally Preserved with Mixed-Tocopherols, Lentil Flour, Canola Meal, Natural Liver Flavor, Dried Yeast, Phosphoric Acid, Salt, Calcium Carbonate, Choline Chloride, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Potassium Chloride, Taurine, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)]. A-4506.",32.00%,11.00%,3.00%,12.00%,
75,Rachael Ray Nutrish Natural Salmon & Brown Rice Recipe Dry Cat Food,Rachael Ray Nutrish,19.97,Adult,normal,468,4.5,"Salmon, Ground Rice, Corn Gluten Meal, Fish Meal, Brown Rice, Poultry Fat (Preserved with Mixed Tocopherols), Brewers Dried Yeast, Dried Ground Peas, Pea Protein, Natural Flavor, Salmon Meal, Dried Plain Beet Pulp, Calcium Carbonate, Choline Chloride, Iron Oxide (color), Dried Carrots, Olive Oil, Taurine, Salt, Vitamin E Supplement, Zinc Sulfate, Ferrous Sulfate, Niacin, l-Ascorbyl-2-Polyphosphate (Source of Vitamin C), Manganese Sulfate, Copper Sulfate, Vitamin A Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Sodium Selenite, Riboflavin Supplement, Pyridoxine Hydrochloride (Source of Vitamin B6), Biotin, Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement, Cobalt Sulfate, Potassium Iodide.",34.00%,14.00%,4.00%,9.00%,
76,Blue Buffalo Healthy Growth Kitten Chicken & Brown Rice Recipe Dry Cat Food,Blue Buffalo,21.98,Kitten,No Corn No Wheat No Soy,301,4.8,"Deboned Chicken, Chicken Meal, Menhaden Fish Meal (Source Of Omega 3 Fatty Acids), Brown Rice, Barley, Oatmeal, Chicken Fat (Preserved With Mixed Tocopherols), Pea Protein, Peas, Dried Egg Product, Natural Flavor, Fish Oil (Source Of ARA-Arachidonic Acid And DHA-Docosahexaenoic Acid), Powdered Cellulose, Flaxseed (Source Of Omega 6 Fatty Acids), DL-Methionine, Calcium Chloride, Choline Chloride, Calcium Sulfate, Potatoes, Dried Chicory Root, Dehydrated Alfalfa Meal, Taurine, Potassium Chloride, Salt, Pea Fiber, Alfalfa Nutrient Concentrate, Calcium Carbonate, Vitamin E Supplement, Sweet Potatoes, Carrots, Preserved With Mixed Tocopherols, Vegetable Juice For Color, Ferrous Sulfate, Niacin (Vitamin B3), Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Zinc Sulfate, Blueberries, Cranberries, Barley Grass, Parsley, Turmeric, Dried Kelp, Yucca Schidigera Extract, Copper Sulfate, Thiamine Mononitrate (Vitamin B1), Copper Amino Acid Chelate, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), L-Lysine, Biotin (Vitamin B7), Vitamin A Supplement, Manganese Sulfate, Manganese Amino Acid Chelate, Pyridoxine Hydrochloride (Vitamin B6), Calcium Pantothenate (Vitamin B5), Riboflavin (Vitamin B2), Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid (Vitamin B9), Dried Yeast, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product, Dried Aspergillus Niger Fermentation Extract, Dried Trichoderma Longibrachiatum Fermentation Extract, Dried Bacillus Subtilis Fermentation Extract, Calcium Iodate, Sodium Selenite, Oil Of Rosemary.",36.00%,20.00%,3.50%,9.00%,
77,"Meow Mix Kitten Li'l Nibbles Dry Cat Food, 3.15-lb bag",Meow Mix,3.98,Kitten,normal,143,4.8,"Chicken By-Product Meal, Brewers Rice, Corn Gluten Meal, Ground Yellow Corn, Soybean Meal, Beef Tallow (Preserved with Mixed Tocopherols), Ocean Fish Meal, Animal Digest, Salmon Meal, Turkey By-Product Meal, Calcium Carbonate, Phosphoric Acid, Choline Chloride, Potassium Chloride, Vitamins [Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, D-Calcium Pantothenate, Thiamine Mononitrate (Source of Vitamin B1), Riboflavin Supplement (Source of Vitamin B2), Pyridoxine Hydrochloride (Source of Vitamin B6), Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Supplement], Taurine, Minerals [Ferrous Sulfate (Source of Iron), Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite], L-Lysine, Red 40, Dl-Methionine, Yellow 5, Blue 2, Rosemary Extract.",36.00%,15.00%,4.50%,12.00%,
78,Royal Canin Feline Digestive Care Dry Cat Food,Royal Canin,29.69,Adult,"Sensitive Digestion, Pea-Free",239,4.7,"Brewers Rice, Wheat Gluten, Chicken Meal, Chicken Fat, Soy Protein Isolate, Corn Gluten Meal, Natural Flavors, Wheat, Corn, Dried Chicory Root, Fish Oil, Calcium Sulfate, Vegetable Oil, Powdered Cellulose, Sodium Silico Aluminate, Potassium Chloride, Salt, Sodium Pyrophosphate, Fructooligosaccharides, Choline Chloride, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Niacin Supplement, Biotin, Riboflavin Supplement, D-Calcium Pantothenate, Thiamine Mononitrate (Vitamin B1), Pyridoxine Hydrochloride (Vitamin B6), Vitamin A Acetate, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], Psyllium Seed Husk, Monocalcium Phosphate, Taurine, Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Copper Proteinate, Sodium Selenite], Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.",36.00%,13.00%,3.70%,8.00%,
79,Iams ProActive Health Healthy Senior Dry Cat Food,Iams,18.35,Senior,normal,293,4.7,"Chicken, Chicken By-Product Meal, Corn Grits, Ground Whole Grain Corn, Dried Beet Pulp, Dried Egg Product, Natural Flavor, Brewers Dried Yeast, Chicken Fat (preserved with mixed Tocopherols), Potassium Chloride, Fish Oil (preserved with mixed Tocopherols), Choline Chloride, Fructooligosaccharides, Vitamin E Supplement, Calcium Carbonate, Taurine, Vitamins (Niacin, Ascorbic Acid, Vitamin A Acetate, Calcium Pantothenate, Biotin, Thiamine Mononitrate (source of vitamin B1), Pyridoxine Hydrochloride (source of vitamin B6), Vitamin B12 Supplement, Riboflavin Supplement source of vitamin B2), Inositol, Vitamin D3 Supplement, Folic Acid), Zinc Oxide, Manganese sulfate, L-Carnitine, Copper Sulfate, Potassium Iodide, Rosemary Extract.",34.00%,17.00%,3.00%,10.00%,
80,Hill's Science Diet Kitten Chicken Recipe Dry Cat Food,Hill's Science Diet,40.99,Kitten,normal,270,4.7,"Chicken, Brown Rice, Wheat Gluten, Chicken Fat, Egg Product, Whole Grain Oats, Whole Grain Wheat, Cracked Pearled Barley, Chicken Liver Flavor, Flaxseed, Calcium Sulfate, Lactic Acid, Fish Oil, L-Lysine, Potassium Chloride, Calcium Carbonate, DL-Methionine, Choline Chloride, Sodium Tripolyphosphate, Taurine, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Calcium Pantothenate, Pyridoxine Hydrochloride, Vitamin A Supplement, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement), minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Iodized Salt, Dicalcium Phosphate, Oat Fiber, Mixed Tocopherols for freshness, Natural Flavors, Magnesium Oxide, Beta-Carotene, Apples, Broccoli, Carrots, Cranberries, Green Peas.",33.00%,19.00%,3.50%,8.00%,
81,Hill's Prescription Diet Metabolic Weight Management Chicken Flavor Dry Cat Food,Hill's Prescription Diet,50.99,Adult,"Weight Control, Pea-Free, Veterinary Diet",354,4.8,"Chicken By-Product Meal, Brewers Rice, Corn Gluten Meal, Powdered Cellulose, Dried Tomato Pomace, Flaxseed, Dried Beet Pulp, Chicken Liver Flavor, Coconut Oil, Pork Fat, Lactic Acid, Potassium Chloride, Calcium Sulfate, L-Lysine, Choline Chloride, Carrots, DL-Methionine, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C) , Niacin Supplement, Thiamine Mononitrate, Calcium Pantothenate, Pyridoxine Hydrochloride, Vitamin A Supplement, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement), Taurine, L-Carnitine, minerals (Manganese Sulfate, Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Mixed Tocopherols for freshness, Natural Flavors, Beta-Carotene",33.00%,10.00%,10.00%,,
82,Iams Proactive Health Sensitive Digestion & Skin Turkey Dry Cat Food,Iams,24,Adult,Sensitive Digestion,83,4.6,"Turkey, Chicken By-Product Meal, Ground Whole Grain Corn, Brewers Rice, Chicken Meal, Corn Gluten Meal, Chicken Fat (preserved with mixed Tocopherols), Ground Sorghum, Dried Beet Pulp, Fish Oil (preserved with mixed Tocopherols), Natural Flavor, Caramel Color, Fructooligosaccharides, Dried Egg Product, Sodium Bisulfate, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Vitamins [Vitamin E Supplement, Niacin, Ascorbic Acid, Vitamin A Acetate, Calcium Pantothenate, Biotin, Thiamine Mononitrate (source of Vitamin B1), Pyridoxine Hydrochloride (Source of Vitamin B6), Vitamin B12 Supplement, Riboflavin Supplement (source of Vitamin B2), Inositol, Vitamin D3 Supplement, Folic Acid], Taurine, Calcium Carbonate, Minerals [Zinc Oxide, Manganese Sulfate, Copper Sulfate, Potassium Iodide], L-Carnitine, Rosemary Extract.",33.00%,14.00%,3.00%,10.00%,
83,Fancy Feast Gourmet Ocean Fish & Salmon & Accents of Garden Greens Dry Cat Food,Fancy Feast,14.98,Adult,normal,364,4.8,"Ground Rice, Poultry By-Product Meal, Corn Gluten Meal, Beef Tallow Naturally Preserved With Mixed-Tocopherols, Whole Grain Corn, Soybean Meal, Liver Flavor, Ocean Fish, Salmon, Phosphoric Acid, Calcium Carbonate, Natural And Artificial Flavors, Salt, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Dried Spinach, Parsley Flakes, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Taurine, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Yellow 5, Blue 2, Red 40, Dl-Methionine. E650218",34.00%,17.00%,3.00%,10.00%,
84,Friskies Gravy Swirlers Chicken and Salmon Flavor Dry Cat Food,Friskies,17.19,Adult,normal,401,4.7,"Ground Yellow Corn, Corn Gluten Meal, Chicken By-product Meal, Soybean Meal, Beef Tallow Preserved With Mixed-tocopherols, Wheat Flour, Meat And Bone Meal, Animal Liver Flavor, Fish Meal, Calcium Carbonate, Phosphoric Acid, Salmon Meal, Natural And Artificial Flavors, Salt, Dried Chicken Flavored Gravy, Choline Chloride, Potassium Chloride, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Taurine, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], L-tryptophan, Dl-methionine, Red 40, Yellow 5, Blue 2. B600717.",30.00%,12.00%,3.00%,12.00%,
85,Purina ONE Ideal Weight Adult Dry Cat Food,Purina ONE,21.4,Adult,Weight Control,209,4.6,"Turkey, Chicken By-Product Meal, Corn Gluten Meal, Soy Flour, Rice Flour, Whole Grain Corn, Soy Protein Isolate, Soybean Hulls, Dried Yeast, Cellulose, Beef Fat Preserved With Mixed-Tocopherols, Natural Flavor, Phosphoric Acid, Calcium Carbonate, L-Lysine Monohydrochloride, Caramel Color, Salt, Dried Carrots, Dried Peas, Choline Chloride, MINERALS [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Taurine, Potassium Chloride, VITAMINS [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], L-Carnitine. G418919.",42.00%,9.00%,5.00%,12.00%,
86,Purina Pro Plan Kitten Chicken & Rice Formula Dry Cat Food,Purina Pro Plan,19.98,Kitten,High-Protein,182,4.8,"New: Chicken, Rice, Corn Gluten Meal, Chicken By-Product Meal, Beef Fat Preserved With Mixed-tocopherols, Soybean Meal, Soy Protein Isolate, Fish Meal, Dried Egg Product, Poultry By-product Meal, Natural Flavor, Wheat Flour, Sodium Caseinate, L-lysine Monohydrochloride, Salt, Phosphoric Acid, Fish Oil, Potassium Chloride, Choline Chloride, Calcium Carbonate, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Taurine, Dl-methionine, Dried Bacillus Coagulans Fermentation Product. X462819.",42.00%,19.00%,2.50%,12.00%,
87,Blue Buffalo Healthy Aging Chicken & Brown Rice Recipe Mature Dry Cat Food,Blue Buffalo,21.98,Senior,No Corn No Wheat No Soy,296,4.6,"Deboned Chicken, Chicken Meal, Brown Rice, Barley, Oatmeal, Pea Protein, Peas, Chicken Fat (preserved with Mixed Tocopherols), Menhaden Fish Meal (source of Omega 3 Fatty Acids), Natural Flavor, Powdered Cellulose, Flaxseed (source of Omega 6 Fatty Acids), Fish Oil (source of DHA-Docosahexaenoic Acid), Pea Fiber, DL-Methionine, Choline Chloride, Salt, Potassium Chloride, Potatoes, Dehydrated Alfalfa Meal, Dried Chicory Root, Taurine, Alfalfa Nutrient Concentrate, Calcium Carbonate, Vitamin E Supplement, Calcium Sulfate, Cranberries, preserved with Mixed Tocopherols, Sweet Potatoes, Carrots, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), L-Carnitine, Vegetable Juice for color, Ferrous Sulfate, Niacin (Vitamin B3), Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Zinc Sulfate, Blueberries, Barley Grass, Parsley, Turmeric, Dried Kelp, Yucca Schidigera Extract, Copper Sulfate, Thiamine Mononitrate (Vitamin B1), Copper Amino Acid Chelate, L-Lysine, Biotin (Vitamin B7), Vitamin A Supplement, Manganese Sulfate, Manganese Amino Acid Chelate, Pyridoxine Hydrochloride (Vitamin B6), Calcium Pantothenate (Vitamin B5), Riboflavin (Vitamin B2), Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid (Vitamin B9), Dried Yeast, Dried Enterococcus faecium fermentation product, Dried Lactobacillus acidophilus fermentation product, Dried Aspergillus niger fermentation extract, Dried Trichoderma longibrachiatum fermentation extract, Dried Bacillus subtilis fermentation extract, Calcium Iodate, Sodium Selenite, Oil of Rosemary.",32.00%,15.00%,5.00%,9.00%,
88,American Journey Duck Recipe Grain-Free Dry Cat Food,American Journey,31.99,Adult,"Grain-Free, No Corn No Wheat No Soy",589,4.6,"Deboned Duck, Chicken Meal, Duck Meal, Tapioca Starch, Dried Egg Product, Pea Protein, Peas, Menhaden Fish Meal, Natural Flavor, Chicken Fat (Preserved with Mixed Tocopherols), Flaxseed, Pea Fiber, Potassium Chloride, Inulin, DL-Methionine, Taurine, Choline Chloride, Salt, Spinach, Apples, Blueberries, Carrots, Cranberries, Pumpkin, Mixed Tocopherols (Preservative), Vitamin E Supplement, Ferrous Sulfate, Zinc Proteinate, Zinc Sulfate, Iron Proteinate, Niacin Supplement, Copper Sulfate, Sodium Selenite, Vitamin A Supplement, Copper Proteinate, Thiamine Mononitrate, L-Carnitine, Manganese Sulfate, D-Calcium Pantothenate, Manganese Proteinate, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Folic Acid, Calcium Iodate, Vitamin D3 Supplement, Rosemary Extract, Yeast Culture, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product, Dried Aspergillus Niger Fermentation Extract, Dried Trichoderma Longibrachiatum Fermentation Extract, Dried Bacillus Subtilis Fermentation Extract.",40.00%,15.00%,4.00%,10.00%,
89,"Purina Beyond Simply Indoor Wild-Caught Salmon, Egg & Sweet Potato Recipe Grain-Free Dry Cat Food",Purina Beyond,24.02,Adult,"Grain-Free, Indoor, No Corn No Wheat No Soy",327,4.6,"Salmon, Pea Starch, Chicken Meal, Pea Protein, Canola Meal, Cassava Root Flour, Dried Egg Product, Powdered Cellulose, Dried Yeast, Dried Sweet Potatoes, Pea Fiber, Beef Fat Preserved With Mixed-Tocopherols, Natural Flavor, Phosphoric Acid, Calcium Carbonate, Sodium Bisulfate, Potassium Chloride, Whole Cranberries, Salt, Taurine, DL-Methionine, Choline Chloride, MINERALS [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], VITAMINS [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Vitamin B-12 Supplement, Riboflavin Supplement (Vitamin B-2), Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Menadione Sodium Bisulfite Complex (Vitamin K), Vitamin D-3 Supplement, Biotin (Vitamin B-7)], L-Lysine Monohydrochloride, Vitamin E Supplement, Dried Bacillus Coagulans Fermentation Product. C424319.",33.00%,10.00%,6.50%,12.00%,
90,Hill's Prescription Diet k/d Kidney Care with Ocean Fish Dry Cat Food,Hill's Prescription Diet,29.99,Adult,Veterinary Diet,293,4.5,"Brown Rice, Corn Gluten Meal, Pork Fat, Ocean Fish, Cracked Pearled Barley, Whole Grain Wheat, Brewers Rice, Wheat Gluten, Chicken Liver Flavor, Egg Product, Soybean Oil, Pea Protein, Chicken Meal, Dried Beet Pulp, Fish Oil, Lactic Acid, Potassium Citrate, Calcium Sulfate, L-Lysine, L-Arginine, Choline Chloride, Calcium Carbonate, vitamins (Vitamin E Supplement, Niacin Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Thiamine Mononitrate, Pyridoxine Hydrochloride, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin A Supplement, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement), L-Threonine, Taurine, Iodized Salt, DL-Methionine, Potassium Chloride, L-Carnitine, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), L-Tryptophan, Mixed Tocopherols for freshness, Natural Flavors, Beta-Carotene.",26.00%,4.00%,,,
91,Taste of the Wild Canyon River Grain-Free Dry Cat Food,Taste of the Wild,30.99,Adult,Grain-Free,543,4.4,"Trout, Ocean Fish Meal, Sweet Potatoes, Potatoes, Pea Protein, Potato Protein, Canola Oil, Smoked Salmon, Natural Flavor, Dl-Methionine, Potassium Chloride, Choline Chloride, Taurine, Dried Chicory Root, Tomatoes, Blueberries, Raspberries, Yucca Schidigera Extract, Dried Lactobacillus Plantarum Fermentation Product, Dried Bacillus Subtilis Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product, Dried Enterococcus Faecium Fermentation Product, Dried Bifidobacterium Animalis Fermentation Product, Zinc Proteinate, Vitamin E Supplement, Niacin, Manganese Proteinate, Copper Proteinate, Zinc Sulfate, Manganese Sulfate, Copper Sulfate, Thiamine Mononitrate, Vitamin A Supplement, Biotin, Potassium Iodide, Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Manganous Oxide, Sodium Selenite, Vitamin D Supplement, Folic Acid.

Contains A Source Of Live (Viable), Naturally Occurring Microorganisms.",32.00%,16.00%,3.00%,10.00%,
